,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
12,34,2,0.9071060762100926,0.8141895379487738,4459,4349,455,447,0.9696184394849652,0.9688535236725663
60,6,57,0.9071060762100926,0.8141900088592092,4464,4344,460,442,0.968886273430926,0.9682018702427369
119,62,43,0.9071060762100926,0.8141896382385012,4463,4345,459,443,0.9695304191744004,0.96875518428777
107,5,14,0.9070030895983522,0.8140100552815502,4480,4327,477,426,0.9693711594801587,0.9689170230881454
148,baseline,57,0.9070030895983522,0.8139852677585523,4455,4352,452,451,0.9687431582188101,0.9681142946697041
130,27,57,0.9070030895983522,0.81398368161095,4458,4349,455,448,0.9685329192991436,0.9676478937779032
126,27,43,0.9070030895983522,0.8139834292285089,4459,4348,456,447,0.9691048709917982,0.9681984342851901
21,37,35,0.9070030895983522,0.8140526509340801,4492,4315,489,414,0.969204113944997,0.968411064090551
138,43,2,0.9069001029866117,0.8137799317734533,4466,4340,464,440,0.9693913984235858,0.9685108226964982
64,28,5,0.9069001029866117,0.8138579737616068,4494,4312,492,412,0.969379496906539,0.9688662234830906
110,3,31,0.9069001029866117,0.8137911684796282,4474,4332,472,432,0.9693427316141292,0.9683542466993286
112,3,2,0.9069001029866117,0.8137844445269523,4470,4336,468,436,0.9690523855137705,0.9678960877656941
111,3,43,0.9069001029866117,0.8137778608293561,4457,4349,455,449,0.9692410065263591,0.9681747654050037
100,5,27,0.9069001029866117,0.8137875300767443,4472,4334,470,434,0.9689666139746977,0.9683017049981949
33,47,6,0.9069001029866117,0.8138210646855482,4485,4321,483,421,0.9695768159975398,0.9689926809317742
117,62,27,0.9067971163748713,0.813572802240173,4464,4341,463,442,0.9689286606520656,0.9680449343979076
61,6,14,0.9067971163748713,0.8135743651253498,4466,4339,465,440,0.9693970203523156,0.9688064932257906
78,17,62,0.9067971163748713,0.813572802240173,4464,4341,463,442,0.9697097905231169,0.9692682156635495
53,6,62,0.9067971163748713,0.813582369411257,4472,4333,471,434,0.9694510757274224,0.9688456094894946
91,35,31,0.9067971163748713,0.8136362365981641,4490,4315,489,416,0.9693372794040025,0.9684670237413128
136,31,57,0.9067971163748713,0.8135764805828881,4468,4337,467,438,0.9691704884467454,0.9683539012894149
95,35,1,0.9066941297631308,0.8134089838758662,4484,4320,484,422,0.9694684506694211,0.9689845690211631
