,model 1,model 2,acc,mcc,tp,tn,fp,fn,auroc,auprc
23,37,3,0.9074150360453141,0.8148369714735028,4483,4328,476,423,0.9691450518710967,0.9682726298794582
31,37,57,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.9689718964662211,0.9682456333004934
32,37,14,0.9074150360453141,0.8148399058668664,4484,4327,477,422,0.969424854203234,0.9687422503586787
50,6,35,0.9074150360453141,0.8148429787244588,4485,4326,478,421,0.9691953734369342,0.9685535688746871
45,47,1,0.9074150360453141,0.8148369714735028,4483,4328,476,423,0.9699952572136346,0.969721804589311
104,5,baseline,0.9073120494335737,0.8146268003085775,4481,4329,475,425,0.969224840829408,0.9687281425477974
109,3,27,0.9073120494335737,0.8146018559754152,4459,4351,453,447,0.9687879639300446,0.9677462648832974
59,6,1,0.9073120494335737,0.8146152516061497,4476,4334,470,430,0.9696179091143302,0.9692634353778937
99,5,62,0.9073120494335737,0.8146085033126567,4472,4338,466,434,0.9695167992564967,0.9691532636017383
49,6,17,0.9073120494335737,0.8146133569993094,4475,4335,469,431,0.96965573514801,0.9691571383428274
85,17,57,0.9073120494335737,0.8146018559754152,4459,4351,453,447,0.9692904794991809,0.9687006010596978
142,43,14,0.9073120494335737,0.8146023126733888,4458,4352,452,448,0.9695414933132568,0.968913235888663
118,62,31,0.9073120494335737,0.8146194559302852,4478,4332,472,428,0.9696230218872505,0.9689011172459211
137,31,14,0.9073120494335737,0.8146217656628287,4479,4331,473,427,0.969656817104105,0.9689114915641983
122,62,1,0.9073120494335737,0.8146172845806355,4477,4333,471,429,0.9697219678328937,0.9694638651314192
114,3,1,0.9072090628218331,0.8144018014418465,4471,4338,466,435,0.9694731391458334,0.9689061816938332
28,37,2,0.9072090628218331,0.8144309075787621,4484,4325,479,422,0.969322216877972,0.9683653401412964
97,35,14,0.9072090628218331,0.8144194614499238,4480,4329,475,426,0.9692238861622652,0.9685553146453167
75,17,35,0.9072090628218331,0.814414568628867,4478,4331,473,428,0.9694121253079968,0.9688323819910365
94,35,baseline,0.9072090628218331,0.814412329750093,4477,4332,472,429,0.9689585947706982,0.9683346885686457
150,1,57,0.9072090628218331,0.8143960687479443,4458,4351,453,448,0.9693811940925706,0.9689947646031454
87,35,5,0.9072090628218331,0.8144562672093639,4491,4318,486,415,0.9692091842882664,0.9686342973208137
65,28,3,0.9072090628218331,0.814408267016887,4475,4334,470,431,0.9692253499852175,0.9683209728349876
84,17,1,0.9072090628218331,0.8144064431474232,4474,4335,469,432,0.969972408846684,0.9697126466039876
8,34,62,0.9071060762100926,0.8141895379487738,4459,4349,455,447,0.9696557563628352,0.9691437474071634
141,43,57,0.9071060762100926,0.8141925222034578,4454,4354,450,452,0.9690899145398946,0.9682917747110004
86,17,14,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.9696730676603579,0.9692307818240528
44,47,baseline,0.9071060762100926,0.8142097142365492,4478,4330,474,428,0.9694625105183104,0.9688936813205186
12,34,2,0.9071060762100926,0.8141895379487738,4459,4349,455,447,0.9695797860730951,0.9688303760047727
60,6,57,0.9071060762100926,0.8141900088592092,4464,4344,460,442,0.9689553276875874,0.968337579117214
119,62,43,0.9071060762100926,0.8141896382385012,4463,4345,459,443,0.9695401779940823,0.9687574768345384
107,5,14,0.9070030895983522,0.8140100552815502,4480,4327,477,426,0.9694491451783115,0.9690272537333923
148,baseline,57,0.9070030895983522,0.8139852677585523,4455,4352,452,451,0.9688347214052156,0.9682113924284459
130,27,57,0.9070030895983522,0.81398368161095,4458,4349,455,448,0.968520275263208,0.9676160984718007
126,27,43,0.9070030895983522,0.8139834292285089,4459,4348,456,447,0.9691271041288123,0.9682245943667266
21,37,35,0.9070030895983522,0.8140526509340801,4492,4315,489,414,0.9691831536975064,0.9683907394178323
138,43,2,0.9069001029866117,0.8137799317734533,4466,4340,464,440,0.9694484663038988,0.9685428581307955
64,28,5,0.9069001029866117,0.8138579737616068,4494,4312,492,412,0.9695346409246541,0.9690566748301788
110,3,31,0.9069001029866117,0.8137911684796282,4474,4332,472,432,0.9694111494260286,0.9684365099835067
112,3,2,0.9069001029866117,0.8137844445269523,4470,4336,468,436,0.9691043194063379,0.9679355796039747
