,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
6881,28,35,62,43,baseline,0.9085478887744594,0.8170793212570674,4477,4345,459,429,0.9698182407105372,0.9692261014702652
7431,17,35,43,baseline,57,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.969734017853718,0.9691681852911295
7408,17,35,27,1,57,0.9085478887744594,0.8170760785134197,4474,4348,456,432,0.9697315781487977,0.9692380426676565
5507,47,27,31,1,57,0.9085478887744594,0.8170895532660677,4483,4339,465,423,0.969935792058052,0.969413671862834
5508,47,27,31,1,14,0.9085478887744594,0.8170965429103236,4486,4336,468,420,0.9700952002560714,0.9696107299493667
3491,37,17,35,5,baseline,0.9085478887744594,0.8170991504193837,4487,4335,469,419,0.9698290602714886,0.9693453795677534
3816,37,35,27,31,baseline,0.9085478887744594,0.8171177111630031,4493,4329,475,413,0.9696564140224226,0.9689406865482293
5936,6,17,5,43,2,0.9085478887744594,0.8170781015975885,4476,4346,458,430,0.9700083891905542,0.9694433602746579
3516,37,17,35,27,1,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.969894295859579,0.9693984797745704
3518,37,17,35,27,14,0.9085478887744594,0.8170940742205058,4485,4337,467,421,0.9697830028855556,0.9692130084116234
8513,27,31,43,2,1,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.9699578979061136,0.9692953996611688
7371,17,35,62,31,baseline,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.969937298310655,0.9693900517758233
6891,28,35,62,baseline,14,0.9085478887744594,0.8170965429103236,4486,4336,468,420,0.9697955196325388,0.9692563013709232
6894,28,35,62,57,14,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.969727780695052,0.9691418411207351
4547,47,6,43,2,14,0.9085478887744594,0.8170770206850597,4475,4347,457,431,0.9700514552861064,0.9694601186023935
6127,6,35,3,27,baseline,0.9085478887744594,0.8170806796697697,4478,4344,460,428,0.969496305735165,0.9687515763971217
7455,17,5,3,27,43,0.9085478887744594,0.8170740843864035,4471,4351,453,435,0.9698017780060303,0.9691980657287492
6380,6,3,62,baseline,14,0.9085478887744594,0.8170760785134197,4474,4348,456,432,0.969781623921905,0.9691852652943495
4835,47,28,43,baseline,57,0.9085478887744594,0.8170821768421813,4479,4343,461,427,0.9698856189959921,0.9693259518131834
4831,47,28,43,2,1,0.9085478887744594,0.8171018967560837,4488,4334,470,418,0.9701748831402558,0.9696723580498535
6629,28,17,5,3,14,0.9085478887744594,0.8170838127810003,4480,4342,462,426,0.9699285153729413,0.9694066174291025
4826,47,28,31,baseline,14,0.9085478887744594,0.8170991504193837,4487,4335,469,419,0.9700603442979471,0.9695152860739503
4820,47,28,31,2,baseline,0.9085478887744594,0.8170991504193837,4487,4335,469,419,0.9700246609616324,0.9693629849757044
8086,35,31,2,57,14,0.9085478887744594,0.8170806796697697,4478,4344,460,428,0.9697408914571461,0.969023126262025
7131,28,3,31,baseline,14,0.9085478887744594,0.8170821768421813,4479,4343,461,427,0.9698501478079314,0.9691926780892226
4785,47,28,62,2,1,0.9085478887744594,0.8171018967560837,4488,4334,470,418,0.9701473038672421,0.9696664338946305
6622,28,17,5,3,27,0.9085478887744594,0.8170855874931369,4481,4341,463,425,0.9697550417456848,0.9691675922386334
6420,6,3,43,2,baseline,0.9085478887744594,0.8170734485712642,4469,4353,451,437,0.9697333814089565,0.9689269164444521
