,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
6115,6,35,5,57,14,0.9080329557157569,0.8160486312892532,4474,4343,461,432,0.9697652460766998,0.9692736343651387
1546,34,28,3,62,31,0.9080329557157569,0.816045616853744,4471,4346,458,435,0.9700757250463587,0.9694468319112641
5806,6,28,27,2,baseline,0.9080329557157569,0.8160651583850399,4483,4334,470,423,0.9697732016362232,0.969096168934645
5716,6,28,5,43,2,0.9080329557157569,0.8160528929016532,4477,4340,464,429,0.9700891540308338,0.9695021006398252
3335,37,28,5,62,57,0.9080329557157569,0.8160584018686271,4480,4337,467,426,0.969886403944532,0.9694362152889745
6066,6,17,2,57,14,0.9080329557157569,0.8160438494346147,4468,4349,455,438,0.9699357920580518,0.9693693670909698
6860,28,35,3,2,14,0.9080329557157569,0.8160564269396747,4479,4338,466,427,0.9697966015886339,0.9690365807338773
7242,28,27,baseline,1,57,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.9698158646500927,0.9693238706091475
3364,37,28,5,57,14,0.9080329557157569,0.816062767583562,4482,4335,469,424,0.9698742902792312,0.9693775400022479
3336,37,28,5,62,14,0.9080329557157569,0.8160703559163471,4485,4332,472,421,0.9700347804333459,0.9696163310030541
7789,35,5,3,27,57,0.9080329557157569,0.8160443000261504,4469,4348,456,437,0.9694861226189755,0.9688266723121206
8234,5,62,43,1,14,0.9080329557157569,0.8160448891640905,4470,4347,457,436,0.9702288536560612,0.9698733118007904
7751,17,31,2,baseline,1,0.9080329557157569,0.8160474879104865,4473,4344,460,433,0.9702376790234257,0.9697108475839625
3203,37,28,17,35,31,0.9080329557157569,0.8160791921615487,4488,4329,475,418,0.9700768282172791,0.9694876414580211
6111,6,35,5,baseline,57,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9696885120532455,0.9691895060330983
8240,5,62,2,1,14,0.9080329557157569,0.8160545906197557,4478,4339,465,428,0.9701630240528599,0.9697477700270332
6071,6,35,5,3,62,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.9698340245406312,0.969307308573635
5724,6,28,5,2,14,0.9080329557157569,0.816067687826542,4484,4333,471,422,0.970037623219949,0.9694839959913012
3204,37,28,17,35,43,0.9080329557157569,0.8160605154140423,4481,4336,468,425,0.9700255731991244,0.9694750672070933
5785,6,28,62,2,baseline,0.9080329557157569,0.8160564269396747,4479,4338,466,427,0.96995206382913,0.9693775441677921
5730,6,28,5,57,14,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9699133679876092,0.9694623020877636
5753,6,28,3,43,baseline,0.9080329557157569,0.816045616853744,4471,4346,458,435,0.9699011270333562,0.9692118887605394
7776,35,5,3,62,27,0.9080329557157569,0.8160499132430887,4475,4342,462,431,0.9696455520318202,0.9690380355640857
8257,5,27,31,baseline,14,0.9080329557157569,0.816062767583562,4482,4335,469,424,0.9699299579810682,0.9693873707177882
