,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
5969,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,no-hard-95pct,0.9084449021627189,0.8168673738237786,4468,4353,451,438,0.9700086649832845,0.969390933969664
985,curriculum-reordered-shuffled-20pct,easiest-interleaved-25pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,hardest-interleaved-10pct,0.9084449021627189,0.8168918010148513,4486,4335,469,420,0.970119279082895,0.969668634140594
1106,curriculum-reordered-shuffled-20pct,baseline,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,no-easy-90pct,0.9084449021627189,0.8168683240355071,4471,4350,454,435,0.9696168908027113,0.9690096379055366
1107,curriculum-reordered-shuffled-20pct,baseline,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.8168683240355071,4471,4350,454,435,0.969436501142376,0.9688600185080516
5867,baseline,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,hardest-interleaved-25pct,no-hard-95pct,0.9084449021627189,0.8168685635165356,4463,4358,446,443,0.9705345805048313,0.9698660239577287
4615,easiest-interleaved-25pct,no-easy-80pct,curriculum-reordered-shuffled-30pct,curriculum-reordered-shuffled-40pct,easiest-interleaved-50pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9697125272355929,0.9692102160352056
2100,curriculum-reordered-shuffled-20pct,easiest-interleaved-10pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,hardest-interleaved-10pct,0.9084449021627189,0.8168726815247083,4476,4345,459,430,0.9699448083588449,0.9694275488211284
2780,curriculum-reordered-shuffled-00pct,easiest-interleaved-25pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.9084449021627189,0.816878664355922,4480,4341,463,426,0.9698135098044741,0.9692684481136291
7283,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,0.9084449021627189,0.8168700099806712,4461,4360,444,445,0.9705267946639113,0.969982367191129
4630,easiest-interleaved-25pct,no-easy-80pct,hardest-interleaved-50pct,easiest-interleaved-10pct,hardest-interleaved-25pct,0.9084449021627189,0.8168683240355071,4471,4350,454,435,0.9705658299426385,0.9698414704515194
