,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
1688,47,2,1,57,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9699106949196095,0.9694132004666021
2359,17,35,3,2,0.9081359423274974,0.8162566208840654,4476,4342,462,430,0.9696814263015634,0.9689154079753186
116,34,37,baseline,14,0.9081359423274974,0.8162634178591928,4480,4338,466,426,0.9699082976443396,0.9693820858894376
2508,17,62,57,14,0.9081359423274974,0.8162512435670543,4471,4347,457,435,0.9697964106552055,0.9693239049159302
2502,17,62,2,14,0.9081359423274974,0.816252041828428,4472,4346,458,434,0.9699153409663709,0.9693780376094798
2336,28,2,baseline,57,0.9081359423274974,0.8162566208840654,4476,4342,462,430,0.9695272581654166,0.96883390143975
2364,17,35,62,27,0.9081359423274974,0.8162634178591928,4480,4338,466,426,0.9696590446607715,0.969089598900974
579,34,3,31,57,0.9081359423274974,0.816249330996604,4466,4352,452,440,0.9697778476829848,0.9690751402496038
2068,28,17,35,57,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9696635846334062,0.9690675347034592
581,34,3,43,2,0.9081359423274974,0.816249330996604,4466,4352,452,440,0.9698584852343118,0.9690598897964205
835,37,6,3,2,0.9081359423274974,0.8162634178591928,4480,4338,466,426,0.9696510678864229,0.9688414046036371
811,37,6,35,3,0.9081359423274974,0.8162806508140101,4487,4331,473,419,0.9696145571719179,0.9688948958956354
2122,28,17,1,57,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9699513213102413,0.9695471754971106
2333,28,43,1,14,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.9700701031176289,0.9696533422714188
422,34,17,3,57,0.9081359423274974,0.8162516085080614,4460,4358,446,446,0.9697943103874914,0.9692145340472269
2718,35,43,1,14,0.9081359423274974,0.8162552682065289,4475,4343,461,431,0.969962098441542,0.9694666565225986
2513,17,27,31,57,0.9081359423274974,0.8162566208840654,4476,4342,462,430,0.9696365781606778,0.9690050048081337
2075,28,17,5,2,0.9081359423274974,0.8162806508140101,4487,4331,473,419,0.9699120102387837,0.9693391080058422
2115,28,17,2,baseline,0.9081359423274974,0.8162581121813047,4477,4341,463,429,0.9698187286515212,0.9691651209041047
559,34,5,57,14,0.9081359423274974,0.8162494363628349,4467,4351,453,439,0.9698280631746952,0.9693811034663915
