,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2138,28,35,3,43,0.9076210092687951,0.8152258573424677,4473,4340,464,433,0.969691651847404,0.9688829551838827
982,37,17,3,57,0.9076210092687951,0.8152208601894514,4468,4345,459,438,0.9697238983820047,0.9691275253603624
1836,6,17,1,57,0.9076210092687951,0.8152198302505874,4466,4347,457,440,0.970005631263253,0.9696562559309974
2301,28,27,2,1,0.9075180226570546,0.8150444541414733,4484,4328,476,422,0.9698621766139305,0.9692861223914572
1645,47,27,43,2,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9698872949671985,0.9691963154872543
498,34,35,31,57,0.9075180226570546,0.8150169156845836,4470,4342,462,436,0.9698533724613917,0.9692034367607344
1146,37,3,2,baseline,0.9075180226570546,0.8150272931694105,4477,4335,469,429,0.9696304258613133,0.9688310134310902
1643,47,27,31,57,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.9697975986854275,0.9691212695308603
2010,6,27,43,baseline,0.9075180226570546,0.8150133193971775,4463,4349,455,443,0.9696820839611507,0.9690410744838347
2305,28,27,baseline,57,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9694530274913588,0.9688392542187623
2544,17,31,57,14,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.969997421125825,0.9694311195723275
2657,35,62,31,57,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9696955553752769,0.9690028784322466
2547,17,43,2,57,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9698618583915496,0.9691760756490031
2078,28,17,5,57,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9698904771910077,0.9694001221791412
1020,37,35,5,3,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.9696146844608703,0.9689689889634528
413,34,17,5,57,0.9075180226570546,0.8150140304384076,4466,4346,458,440,0.9700414843181708,0.9696386429741968
1467,47,17,2,57,0.9075180226570546,0.8150179829591636,4471,4341,463,435,0.9699555218456696,0.9693481420452855
2004,6,27,31,2,0.9075180226570546,0.8150293293615409,4478,4334,470,428,0.9697961985069516,0.9690471729425592
2396,17,35,baseline,14,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9698076969423157,0.9693219119494295
1408,47,28,57,14,0.9075180226570546,0.8150388586603785,4482,4330,474,424,0.9699457630259876,0.9694041314287147
1025,37,35,5,2,0.9075180226570546,0.8150474596197959,4485,4327,477,421,0.9697521565294309,0.9690824440030641
892,37,28,35,31,0.9075180226570546,0.8150896632649669,4496,4316,488,410,0.9698693047952633,0.9691789651538364
2818,5,31,43,57,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9699420716463689,0.9693688350553242
2888,3,27,43,14,0.9075180226570546,0.8150138535484447,4460,4352,452,446,0.9696049680708393,0.9688115759800988
1304,47,6,27,43,0.9075180226570546,0.8150205327055089,4473,4339,465,433,0.9699270091203384,0.9693287232758447
1147,37,3,2,1,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9698842612471669,0.969211399658498
1060,37,35,43,2,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9697836817599683,0.9690261854850243
1950,6,3,27,baseline,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9694813704980867,0.9687524474239165
2740,5,3,27,2,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.9695674178298896,0.968768696160506
2765,5,3,57,14,0.9075180226570546,0.8150169156845836,4470,4342,462,436,0.9696084897318549,0.9690462063969671
1123,37,3,62,2,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.9697036594385775,0.9689802481333478
2282,28,62,2,14,0.9075180226570546,0.8150272931694105,4477,4335,469,429,0.9698887800049761,0.9692953440295795
1028,37,35,5,57,0.9075180226570546,0.8150362686402274,4481,4331,473,425,0.9695871688323326,0.9690127622429583
2905,3,31,2,1,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9700306223275683,0.9693373581400032
2118,28,17,2,14,0.9075180226570546,0.8150272931694105,4477,4335,469,429,0.9700018550243324,0.9694224369290367
2611,35,3,62,31,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9697367121365434,0.9689801337078054
2022,6,27,1,14,0.9075180226570546,0.8150159868009407,4469,4343,461,437,0.9698490658518364,0.9693821673416246
3036,31,2,baseline,57,0.9075180226570546,0.8150151963024065,4468,4344,460,438,0.9697201857875604,0.9689521418676389
2845,5,2,57,14,0.9075180226570546,0.8150169156845836,4470,4342,462,436,0.9697192311204176,0.969154328907665
2074,28,17,5,43,0.9075180226570546,0.8150236360908403,4475,4337,467,431,0.9701324110598145,0.9696490525944534
677,34,baseline,1,14,0.9075180226570546,0.815013655062344,4465,4347,457,441,0.9701209762689265,0.9697269360969176
1226,37,43,baseline,14,0.9075180226570546,0.8150191886307213,4472,4340,464,434,0.969895526319452,0.969337481869163
1779,6,17,35,2,0.9075180226570546,0.8150315039988618,4479,4333,471,427,0.9698533724613914,0.9692355821277727
2294,28,27,31,14,0.9075180226570546,0.8150415871579326,4483,4329,475,423,0.9698459260576779,0.9691720382686747
693,37,47,6,14,0.9075180226570546,0.8150444541414733,4484,4328,476,422,0.9701020102150233,0.9695972951713299
