,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
546,17,5,2,0.9075180226570546,0.8150236360908403,4475,4337,467,431,0.9697514776550185,0.9691646668672045
304,47,35,57,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9695146353443064,0.9688732664978493
771,27,2,baseline,0.9075180226570546,0.8150169156845836,4470,4342,462,436,0.9691943126956645,0.9683481748790206
416,6,62,27,0.9075180226570546,0.8150253954149472,4476,4336,468,430,0.9694078823429177,0.9686911607356732
268,47,6,57,0.9075180226570546,0.8150272931694105,4477,4335,469,429,0.9695767099234127,0.968990137060952
562,17,62,43,0.9075180226570546,0.8150138535484447,4460,4352,452,446,0.9699685265336366,0.969464412793017
689,5,2,14,0.9075180226570546,0.8150388586603785,4482,4330,474,424,0.9695876143436659,0.9690010558179736
430,6,27,14,0.9074150360453141,0.8148095657339205,4468,4343,461,438,0.969425872514853,0.9687519362560604
337,47,27,1,0.9074150360453141,0.8148315180440784,4481,4330,474,425,0.9698069332086015,0.9693801089183028
648,35,1,57,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9695127472248463,0.9690110474130781
219,37,3,14,0.9074150360453141,0.8148243761660804,4478,4333,471,428,0.9695397536975744,0.9688190311287357
595,17,57,14,0.9074150360453141,0.8148073205669941,4462,4349,455,444,0.9695758189007461,0.9690841524829203
234,37,27,14,0.9074150360453141,0.8148266183675407,4479,4332,472,427,0.9694232206616786,0.9687055768701582
242,37,43,baseline,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9696136237196004,0.9690094936215297
366,6,28,27,0.9074150360453141,0.814834175535469,4482,4329,475,424,0.9694158379024409,0.9687042430806312
449,6,1,57,0.9074150360453141,0.8148074305106058,4461,4350,454,445,0.9695992188531571,0.9691716199870197
754,62,baseline,1,0.9074150360453141,0.8148114208450633,4470,4341,463,436,0.9697805631806352,0.9694383454428084
82,34,5,62,0.9074150360453141,0.8148167914252015,4474,4337,467,432,0.9699227025107829,0.9695203621772374
797,43,2,1,0.9074150360453141,0.8148138293921571,4472,4339,465,434,0.9698885466418968,0.9693249293013837
634,35,31,57,0.9074150360453141,0.8148184800155064,4475,4336,468,431,0.9694088582248861,0.968640203838369
519,28,43,14,0.9074150360453141,0.8148078206585737,4465,4346,458,441,0.9697928889941898,0.969207937320391
376,6,17,3,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9696615904398189,0.9689955279982577
128,34,2,57,0.9074150360453141,0.8148109946150195,4455,4356,448,451,0.969565932792112,0.9688729440980468
497,28,62,2,0.9074150360453141,0.8148266183675407,4479,4332,472,427,0.9696861996372774,0.9689792683601661
767,27,43,baseline,0.9074150360453141,0.8148080653332787,4459,4352,452,447,0.9693623128979689,0.968645633487315
758,62,1,14,0.9074150360453141,0.8148184800155064,4475,4336,468,431,0.9699270303351636,0.9695865883253784
492,28,3,57,0.9074150360453141,0.8148104241129906,4469,4342,462,437,0.9692847090666733,0.9685033710489165
489,28,3,2,0.9074150360453141,0.8148266183675407,4479,4332,472,427,0.9694957541497048,0.9685708931080886
631,35,31,2,0.9074150360453141,0.8148530281747784,4488,4323,481,418,0.9696160422096954,0.9687245352557141
190,37,35,5,0.9074150360453141,0.8149005429633132,4499,4312,492,407,0.9695310344043369,0.9689147252405412
563,17,62,2,0.9074150360453141,0.8148082640121154,4466,4345,459,440,0.9698107518771726,0.9692171821595463
486,28,3,27,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.9692498531085489,0.9683817167416511
732,62,27,31,0.9074150360453141,0.8148289989908565,4480,4331,473,426,0.9694926992148479,0.9686699285672515
726,3,baseline,1,0.9074150360453141,0.8148095657339205,4468,4343,461,438,0.9696122447559498,0.9690656862497997
352,47,2,1,0.9074150360453141,0.8148315180440784,4481,4330,474,425,0.9700038492179197,0.9695268357156394
203,37,5,27,0.9074150360453141,0.8148266183675407,4479,4332,472,427,0.9693772481350471,0.9687348245398331
329,47,62,baseline,0.9074150360453141,0.8148152412196782,4473,4338,466,433,0.969730029466544,0.9691896754508923
477,28,5,27,0.9074150360453141,0.8148461900553907,4486,4325,479,420,0.9694051668452672,0.9688403567137798
347,47,43,baseline,0.9074150360453141,0.8148184800155064,4475,4336,468,431,0.9698240960023462,0.9693078969632953
331,47,62,57,0.9073120494335737,0.8146152516061497,4476,4334,470,430,0.9696333747220434,0.9690071639426054
532,17,35,62,0.9073120494335737,0.8146133569993094,4475,4335,469,431,0.9697400216493051,0.9692300667177274
325,47,62,27,0.9073120494335737,0.814632388583961,4483,4327,477,423,0.969596842792713,0.9689141957916334
667,5,62,14,0.9073120494335737,0.8146217656628287,4479,4331,473,427,0.969706311291752,0.9693024389290825
668,5,27,31,0.9073120494335737,0.8146242137862082,4480,4330,474,426,0.9695102226606241,0.9688578039578832
529,28,57,14,0.9073120494335737,0.8146020196488084,4465,4345,459,441,0.9694748999763412,0.9689053202838136
691,5,baseline,57,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.9692341329229311,0.9687090818959525
239,37,31,57,0.9073120494335737,0.8146194559302852,4478,4332,472,428,0.9695467970196054,0.9688084592747428
708,3,27,1,0.9073120494335737,0.8146016466504227,4464,4346,458,442,0.9694484875187241,0.9687880062063055
710,3,27,14,0.9073120494335737,0.8146020196488084,4465,4345,459,441,0.9692745047356581,0.968448241461109
713,3,31,baseline,0.9073120494335737,0.8146152516061497,4476,4334,470,430,0.9695343439170986,0.9687336535134989
715,3,31,57,0.9073120494335737,0.8146031805475239,4467,4343,461,439,0.9693944321436173,0.968554576891341
200,37,35,14,0.9073120494335737,0.8146563084147964,4490,4320,484,416,0.9695896509669037,0.9689270528559282
197,37,35,baseline,0.9073120494335737,0.8146418092054984,4486,4324,480,420,0.9693930743947919,0.9687388179749448
135,34,57,14,0.9073120494335737,0.8146018559754152,4459,4351,453,447,0.9696606782023269,0.969154506315075
110,34,27,2,0.9073120494335737,0.8146014119459761,4463,4347,457,443,0.969550042887891,0.9687882372041271
98,34,3,57,0.9073120494335737,0.814609380896302,4451,4359,445,455,0.9694667534833895,0.9687895268450557
206,37,5,2,0.9073120494335737,0.8146452263049119,4487,4323,481,419,0.969623700761663,0.9689397512675095
306,47,5,3,0.9073120494335737,0.8146242137862082,4480,4330,474,426,0.9697382183891464,0.9691971617882316
408,6,3,27,0.9073120494335737,0.8146031805475239,4467,4343,461,439,0.9692194946934085,0.9683236582903423
513,28,31,57,0.9073120494335737,0.8146071621054521,4471,4339,465,435,0.9695854928611264,0.9688695318462026
