,model 1,model 2,model 3,model 4,acc,mcc,tp,tn,fp,fn,auroc,auprc
2138,no-easy-80pct,hardest-interleaved-50pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-40pct,0.9071060762100926,0.8141893116642265,4461,4347,457,445,0.970553143477052,0.9700078278463302
1792,baseline,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,no-hard-90pct,0.9071060762100926,0.8141925222034578,4454,4354,450,452,0.969053806907072,0.9684017593066091
502,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9071060762100926,0.8141911647926413,4466,4342,462,440,0.9701549836340351,0.9696086978197249
654,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,no-hard-95pct,0.9071060762100926,0.814195135580183,4470,4338,466,436,0.9702758232794861,0.9699092242397888
1903,baseline,easiest-interleaved-10pct,no-easy-95pct,no-easy-90pct,0.9071060762100926,0.8141894058417614,4462,4346,458,444,0.9694857407521182,0.9687587576808655
1735,baseline,no-easy-80pct,hardest-interleaved-25pct,no-hard-90pct,0.9071060762100926,0.8141946832492448,4452,4356,448,454,0.9699123284611647,0.9692821826134543
1760,baseline,no-easy-80pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9071060762100926,0.8141964739198045,4471,4337,467,435,0.969469405336564,0.9687846756208552
1931,baseline,easiest-interleaved-10pct,easiest-interleaved-50pct,no-hard-90pct,0.9071060762100926,0.8141893557013442,4460,4348,456,446,0.96894365953362,0.9682628387834612
2781,easiest-interleaved-10pct,no-easy-95pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9071060762100926,0.8141895379487738,4459,4349,455,447,0.9693280085253049,0.9686130602661279
2802,easiest-interleaved-10pct,no-easy-90pct,curriculum-reordered-shuffled-40pct,no-hard-95pct,0.9071060762100926,0.8141895379487738,4459,4349,455,447,0.9693280085253049,0.9686130602661279
510,curriculum-reordered-shuffled-20pct,hardest-interleaved-50pct,hardest-interleaved-10pct,no-hard-90pct,0.9071060762100926,0.8141898584023857,4458,4350,454,448,0.9704532216494407,0.9700488200578076
1843,baseline,hardest-interleaved-50pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-40pct,0.9071060762100926,0.8141911647926413,4466,4342,462,440,0.9699988000894757,0.9693121689127885
1039,curriculum-reordered-shuffled-00pct,hardest-interleaved-50pct,no-easy-95pct,no-easy-90pct,0.9071060762100926,0.8141898584023857,4458,4350,454,448,0.9704030273725559,0.9699035701351371
3001,no-easy-90pct,curriculum-reordered-shuffled-10pct,hardest-interleaved-10pct,no-hard-80pct,0.9071060762100926,0.8142331454952301,4486,4322,482,420,0.969765458224954,0.9695556139056802
50,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-00pct,curriculum-reordered-shuffled-30pct,hardest-interleaved-10pct,0.9071060762100926,0.8141939355037936,4469,4339,465,437,0.9702023351243171,0.9698437772567515
1557,easiest-interleaved-25pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,no-hard-95pct,0.9071060762100926,0.8141979505291134,4472,4336,468,434,0.9694804794754202,0.9686082195205759
2575,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.97031146418615,0.9697808266563791
2582,hardest-interleaved-50pct,easiest-interleaved-10pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.97031146418615,0.9697808266563791
296,curriculum-reordered-shuffled-20pct,baseline,curriculum-reordered-shuffled-10pct,easiest-interleaved-50pct,0.9071060762100926,0.8141911647926413,4466,4342,462,440,0.9696625663217873,0.969233120037484
1566,easiest-interleaved-25pct,easiest-interleaved-10pct,easiest-interleaved-50pct,no-hard-95pct,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.969353572389906,0.9683203127943665
1570,easiest-interleaved-25pct,easiest-interleaved-10pct,hardest-interleaved-10pct,no-hard-90pct,0.9071060762100926,0.8141895379487738,4459,4349,455,447,0.969704274668514,0.9689966520207336
2750,easiest-interleaved-10pct,hardest-interleaved-25pct,curriculum-reordered-shuffled-10pct,no-hard-80pct,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.9696357719973132,0.9690663567894191
1156,curriculum-reordered-shuffled-00pct,no-easy-95pct,no-easy-90pct,curriculum-reordered-shuffled-10pct,0.9071060762100926,0.8141928736843931,4468,4340,464,438,0.96963104109125,0.9691187864485663
298,curriculum-reordered-shuffled-20pct,baseline,curriculum-reordered-shuffled-10pct,no-hard-95pct,0.9071060762100926,0.814195135580183,4470,4338,466,436,0.9695043249391643,0.9689564290726167
408,curriculum-reordered-shuffled-20pct,curriculum-reordered-shuffled-30pct,easiest-interleaved-10pct,curriculum-reordered-shuffled-10pct,0.9071060762100926,0.814195135580183,4470,4338,466,436,0.9694327673331062,0.9688526937877034
2394,curriculum-reordered-shuffled-30pct,hardest-interleaved-50pct,hardest-interleaved-10pct,no-hard-95pct,0.9071060762100926,0.8141995654147763,4473,4335,469,433,0.9706748105006935,0.9701496535874798
359,curriculum-reordered-shuffled-20pct,no-easy-80pct,no-easy-95pct,curriculum-reordered-shuffled-10pct,0.9071060762100926,0.814195135580183,4470,4338,466,436,0.9698803365044689,0.969409359494821
